product_name,node_name,year,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
JPN_RICE_1,DADJPN,2024,0,0,0,0,0,0,147,734,2201,3670,587,0
JPN_RICE_1,DADJPN,2025,0,0,0,0,0,0,147,734,2201,3670,587,0
JPN_RICE_1,DADJPN,2026,0,0,0,0,0,0,0,0,0,0,0,0
CAL_RICE_1,DADCAL,2024,100,0,0,0,0,0,0,0,0,0,0,0
CAL_RICE_1,DADCAL,2025,140,0,0,0,0,0,0,0,0,0,0,0
CAL_RICE_1,DADCAL,2026,0,0,0,0,0,0,0,0,0,0,0,0
Reserv_Rice,DADGSJP,2024,800,0,0,0,0,0,0,0,0,200,0,0
Reserv_Rice,DADGSJP,2025,0,0,0,0,0,0,0,0,0,0,0,0
Reserv_Rice,DADGSJP,2026,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,30040304,,,,,,,,,,,,,
