product_name,node_name,year,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
prod-A,CS_JPN,2024,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,CS_JPN,2025,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,CS_JPN,2026,374.3,374.3,374.3,374.3,374.3,374.3,374.3,374.3,374.3,374.3,374.3,374.3
prod-A,CS_JPN,2027,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,CS_CAL,2024,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,CS_CAL,2025,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,CS_CAL,2026,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2
prod-A,CS_CAL,2027,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,GR_CS_JPN,2024,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,GR_CS_JPN,2025,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,GR_CS_JPN,2026,0,0,4,99,129,200,150,150,0,0,0,0
prod-A,GR_CS_JPN,2027,0,0,0,0,0,0,0,0,0,0,0,0
