product_name,node_name,year,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
prod-A,CS_JPN,2024,0,0,0,0,0,0,0,0,374.3,374.3,374.3,374.3
prod-A,CS_JPN,2025,374.3,374.3,374.3,374.3,374.3,374.3,374.3,374.3,374.3,374.3,374.3,374.3
prod-A,CS_JPN,2026,374.3,374.3,374.3,374.3,374.3,374.3,374.3,374.3,0,0,0,0
prod-A,CS_CAL,2024,0,0,0,0,0,10,10,10,10,10,10,10
prod-A,CS_CAL,2025,10,10,10,10,10,10,10,10,10,10,10,10
prod-A,CS_CAL,2026,10,10,10,10,10,0,0,0,0,0,0,0
prod-A,GR_CS_JPN,2024,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,GR_CS_JPN,2025,0,0,0,5,10,15,17.5,15,12,10.8,9,9
prod-A,GR_CS_JPN,2026,5.6,5.6,5.6,5.6,5.6,5.6,4,4,0.4,4,4,4
prod-A,GRxCS_JPN,2024,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,GRxCS_JPN,2025,0,0,0.426,5,10,15,17.5,10,8,7.2,6,6
prod-A,GRxCS_JPN,2026,2.4,2.4,2.4,2.4,2.4,2.4,1,1,0.1,1,1,1
,,,,,,,,,,,,,,
prod-A,GR_CS_JPN,2024,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,GR_CS_JPN,2025,0,0,0,0.005,0.01,0.015,0.0175,0.015,0.012,0.0108,0.009,0.009
prod-A,GR_CS_JPN,2026,0.0056,0.0056,0.0056,0.0056,0.0056,0.0056,0.004,0.004,0.0004,0.004,0.004,0.004
prod-A,GRxCS_JPN,2024,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,GRxCS_JPN,2025,0,0,0.000426,0.005,0.01,0.015,0.0175,0.01,0.008,0.0072,0.006,0.006
prod-A,GRxCS_JPN,2026,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.001,0.001,0.0001,0.001,0.001,0.001
,,,,,,,,,,,,,,
,,,,### 4. 月別販売実績・予想まとめ（トン）,,,,,,,,,,
,,,,| 月 | 主食用米（実績/予想） | 加工食品用米（実績/予想） |,,,,,,| 月 | 主食用米（総放出量） | 随意契約分（推定） |,,,,
,,,,|-------|-----------------------|-------------------------|,,,,,,|-------|-----------------------|-------------------|,,,,
,,,,2025年1月,0,0,,,,2025年1月,0,0,0,
,,,,2025年2月,0,0,,,,2025年2月,0,0,0,
,,,,2025年3月,426,500,,,,2025年3月,426,426,0,
,,,,2025年4月,10000,700,,,,2025年4月,10000,5000,5000,
,,,,2025年5月,20000,800,,,,2025年5月,20000,10000,10000,
,,,,2025年6月,30000,800,,,,2025年6月,30000,15000,15000,
,,,,2025年7月,35000,1000,,,,2025年7月,35000,17500,17500,
,,,,2025年8月,25000,1000,,,,2025年8月,25000,10000,15000,
,,,,2025年9月,20000,1000,,,,2025年9月,20000,8000,12000,
,,,,2025年10月,18000,1000,,,,2025年10月,18000,7200,10800,
,,,,2025年11月,15000,1000,,,,2025年11月,15000,6000,9000,
,,,,2025年12月,15000,1000,,,,2025年12月,15000,6000,9000,
,,,,2026年1月,8000,800,,,,2026年1月,8000,2400,5600,
,,,,2026年2月,8000,800,,,,2026年2月,8000,2400,5600,
,,,,2026年3月,8000,800,,,,2026年3月,8000,2400,5600,
,,,,2026年4月,8000,800,,,,2026年4月,8000,2400,5600,
,,,,2026年5月,8000,800,,,,2026年5月,8000,2400,5600,
,,,,2026年6月,8000,800,,,,2026年6月,8000,2400,5600,
,,,,2026年7月,5000,500,,,,2026年7月,5000,1000,4000,
,,,,2026年8月,5000,500,,,,2026年8月,5000,1000,4000,
,,,,2026年9月,500,500,,,,2026年9月,500,100,400,
,,,,2026年10月,5000,500,,,,2026年10月,5000,1000,4000,
,,,,2026年11月,5000,500,,,,2026年11月,5000,1000,4000,
,,,,2026年12月,5000,500,,,,2026年12月,5000,1000,4000,
