week_index,iso_year,iso_week,S,CO,I,P
0,2024,1,0,0,0,0
1,2024,2,0,0,0,0
2,2024,3,0,0,0,0
3,2024,4,0,0,0,0
4,2024,5,0,0,0,0
5,2024,6,0,0,0,0
6,2024,7,0,0,0,0
7,2024,8,0,0,0,0
8,2024,9,0,0,0,0
9,2024,10,0,0,0,0
10,2024,11,0,0,0,0
11,2024,12,0,0,0,0
12,2024,13,0,0,0,0
13,2024,14,0,0,0,0
14,2024,15,0,0,0,0
15,2024,16,0,0,0,0
16,2024,17,0,0,0,0
17,2024,18,0,0,0,0
18,2024,19,0,0,0,0
19,2024,20,0,0,0,0
20,2024,21,0,0,0,1
21,2024,22,1,0,0,2
22,2024,23,2,0,0,2
23,2024,24,2,0,0,2
24,2024,25,2,0,0,2
25,2024,26,2,0,0,2
26,2024,27,2,0,0,2
27,2024,28,2,0,0,2
28,2024,29,2,0,0,2
29,2024,30,2,0,0,2
30,2024,31,2,0,0,2
31,2024,32,2,0,0,2
32,2024,33,2,0,0,2
33,2024,34,2,0,0,2
34,2024,35,2,0,0,2
35,2024,36,2,0,0,2
36,2024,37,2,0,0,2
37,2024,38,2,0,0,2
38,2024,39,2,0,0,2
39,2024,40,2,0,0,2
40,2024,41,2,0,0,2
41,2024,42,2,0,0,2
42,2024,43,2,0,0,2
43,2024,44,2,0,0,2
44,2024,45,2,0,0,2
45,2024,46,2,0,0,2
46,2024,47,2,0,0,2
47,2024,48,2,0,0,2
48,2024,49,2,0,0,2
49,2024,50,2,0,0,2
50,2024,51,2,0,0,2
51,2024,52,2,0,0,2
52,2025,1,2,0,0,2
53,2025,2,2,0,0,2
54,2025,3,2,0,0,2
55,2025,4,2,0,0,2
56,2025,5,2,0,0,2
57,2025,6,2,0,0,2
58,2025,7,2,0,0,2
59,2025,8,2,0,0,2
60,2025,9,2,0,0,2
61,2025,10,2,0,0,2
62,2025,11,2,0,0,2
63,2025,12,2,0,0,2
64,2025,13,2,0,0,2
65,2025,14,2,0,0,2
66,2025,15,2,0,0,2
67,2025,16,2,0,0,2
68,2025,17,2,0,0,2
69,2025,18,2,0,0,2
70,2025,19,2,0,0,2
71,2025,20,2,0,0,2
72,2025,21,2,0,0,2
73,2025,22,2,0,0,2
74,2025,23,2,0,0,2
75,2025,24,2,0,0,2
76,2025,25,2,0,0,2
77,2025,26,2,0,0,2
78,2025,27,2,0,0,2
79,2025,28,2,0,0,2
80,2025,29,2,0,0,2
81,2025,30,2,0,0,2
82,2025,31,2,0,0,2
83,2025,32,2,0,0,2
