week_index,iso_year,iso_week,S,CO,I,P
0,2024,1,0,0,0,0
1,2024,2,0,0,0,0
2,2024,3,0,0,0,0
3,2024,4,0,0,0,0
4,2024,5,0,0,0,0
5,2024,6,0,0,0,0
6,2024,7,0,0,0,0
7,2024,8,0,0,0,0
8,2024,9,0,0,0,0
9,2024,10,0,0,0,0
10,2024,11,0,0,0,0
11,2024,12,0,0,0,0
12,2024,13,0,0,0,0
13,2024,14,0,0,0,0
14,2024,15,0,0,0,0
15,2024,16,0,0,0,0
16,2024,17,0,0,0,0
17,2024,18,0,0,0,0
18,2024,19,0,0,0,0
19,2024,20,0,0,0,0
20,2024,21,0,0,0,0
21,2024,22,0,0,0,0
22,2024,23,0,0,0,0
23,2024,24,0,0,0,0
24,2024,25,0,0,0,0
25,2024,26,0,0,0,0
26,2024,27,0,0,0,0
27,2024,28,0,0,0,0
28,2024,29,0,0,0,0
29,2024,30,0,0,0,0
30,2024,31,0,0,0,0
31,2024,32,0,0,0,0
32,2024,33,0,0,0,0
33,2024,34,0,0,0,0
34,2024,35,12,0,0,0
35,2024,36,81,0,0,0
36,2024,37,81,0,0,0
37,2024,38,81,0,0,0
38,2024,39,81,0,0,0
39,2024,40,81,0,0,0
40,2024,41,81,0,0,0
41,2024,42,81,0,0,0
42,2024,43,81,0,0,0
43,2024,44,81,0,0,0
44,2024,45,81,0,0,0
45,2024,46,81,0,0,0
46,2024,47,81,0,0,0
47,2024,48,81,0,0,0
48,2024,49,81,0,0,0
49,2024,50,81,0,0,0
50,2024,51,81,0,0,0
51,2024,52,81,0,0,0
52,2025,1,81,0,0,0
53,2025,2,81,0,0,0
54,2025,3,81,0,0,0
55,2025,4,81,0,0,0
56,2025,5,81,0,0,0
57,2025,6,81,0,0,0
58,2025,7,81,0,0,0
59,2025,8,81,0,0,0
60,2025,9,81,0,0,0
61,2025,10,81,0,0,0
62,2025,11,81,0,0,0
63,2025,12,81,0,0,0
64,2025,13,81,0,0,0
65,2025,14,81,0,0,0
66,2025,15,81,0,0,0
67,2025,16,81,0,0,0
68,2025,17,81,0,0,0
69,2025,18,81,0,0,0
70,2025,19,81,0,0,0
71,2025,20,81,0,0,0
72,2025,21,81,0,0,0
73,2025,22,81,0,0,0
74,2025,23,81,0,0,0
75,2025,24,81,0,0,0
76,2025,25,81,0,0,0
77,2025,26,81,0,0,0
78,2025,27,81,0,0,0
79,2025,28,81,0,0,0
80,2025,29,81,0,0,0
81,2025,30,81,0,0,0
82,2025,31,81,0,0,0
83,2025,32,81,0,0,0
